canonical_objective_id,subject,domain,level_band,learning_map_objective_id,textbook_source,textbook_objective_or_card_ref,standard_outcome_id,alignment_strength,alignment_note,evidence_needed_for_progress
"co.eng.l1.vocabulary-context.001","english","vocabulary","L1 lower-primary bridge","obj.lang.english.l1.vocabulary-growth.001","src.textbook.english.cambridge-primary-path.l1","vocabulary.jsonl; units/unit1-unit9 vocabulary records","std.sgmoe.eng.lp.vocabulary.001","strong","CPP L1 topic vocabulary maps directly to lower-primary vocabulary development through experience and meaningful use; Foundation naming becomes broader contextual word use.","Observed child recognizes names or uses target words with meaning shown by picture object gesture or sentence."
"co.eng.l1.vocabulary-context.001","english","vocabulary","L1 lower-primary bridge","obj.lang.english.l1.vocabulary-growth.001","src.textbook.english.cambridge-primary-path.l1","vocabulary.jsonl; cambridge-primary-path-l1-cards.jsonl","std.china2022.eng.l1.vocabulary-grammar.001","strong","China Level 1 vocabulary grammar emphasizes sound form meaning and use; grade band is a later primary reference so evidence must remain support-aware.","Dated word-use sample showing whether response was recognition repetition prompted naming or independent use."
"co.eng.l1.sentence-patterns.001","english","sentence_patterns","L1 lower-primary bridge","obj.lang.english.l1.sentence-patterns.001","src.textbook.english.cambridge-primary-path.l1","sentence-patterns.jsonl","std.sgmoe.eng.lp.grammar.001","strong","CPP L1 sentence patterns fit lower-primary word phrase and sentence grammar in meaningful contexts; Foundation frames expand into more varied grammar.","Child adapts a sentence frame with meaningful substitution and shows what the sentence means."
"co.eng.l1.sentence-patterns.001","english","sentence_patterns","L1 lower-primary bridge","obj.lang.english.l1.sentence-patterns.001","src.textbook.english.cambridge-primary-path.l1","sentence-patterns.jsonl","std.ibpyp.lang.phase2.writing.001","moderate","PYP Phase 2 writing supports simple sentence structures but is broader than oral frame work; useful when written or built sentences are observed.","Short written built or dictated sentence with support level and child contribution recorded."
"co.eng.l1.language-functions.001","english","language_functions","L1 lower-primary bridge","obj.lang.english.l1.language-functions.001","src.textbook.english.cambridge-primary-path.l1","language-functions.jsonl","std.china2022.eng.l1.language-skills.001","strong","CPP L1 language functions align with simple exchanges personal information feelings preferences and short supported language; Foundation interaction becomes purposeful exchange.","Observation of the communicative purpose and exact child utterance or response."
"co.eng.l1.language-functions.001","english","language_functions","L1 lower-primary bridge","obj.lang.english.l1.interaction-discussion.001","src.textbook.english.cambridge-primary-path.l1","language-functions.jsonl; progress-observation-points.jsonl","std.sgmoe.eng.lp.speaking-representing.001","strong","Singapore speaking and representing supports purposeful communication and respectful discussion; CPP L1 provides unit-level communicative routines.","Observed child asks answers clarifies describes or explains in a short exchange with prompt level recorded."
"co.eng.l1.phonics-sound-awareness.001","english","phonics_sound_awareness","L1 lower-primary bridge","obj.lang.english.l1.phonics-sound-awareness.001","src.textbook.english.cambridge-primary-path.l1","phonics-or-sound-awareness.jsonl","std.sgmoe.eng.lp.early-literacy.001","strong","Singapore lower-primary foundation explicitly emphasizes phonemic awareness phonics and early literacy; CPP L1 has unit sound-pattern records.","Child identifies sorts repeats or reads target sound-pattern words in a visible task."
"co.eng.l1.phonics-sound-awareness.001","english","phonics_sound_awareness","L1 lower-primary bridge","obj.lang.english.l1.phonics-sound-awareness.001","src.textbook.english.cambridge-primary-path.l1","phonics-or-sound-awareness.jsonl","std.ibpyp.lang.phase2.reading.001","moderate","PYP Phase 2 reading includes decoding strategies and printed-code awareness; alignment is broader than individual CPP phonics entries.","Evidence that the child used a sound or print clue rather than only echoing the adult."
"co.eng.l1.listening-viewing.001","english","listening_viewing","L1 lower-primary bridge","obj.lang.english.l1.listening-comprehension.001","src.textbook.english.cambridge-primary-path.l1","exercise-items.jsonl; progress-observation-points.jsonl","std.sgmoe.eng.lp.listening-viewing.001","strong","CPP L1 listening tasks map to attentive listening and viewing response through contextual clues; Foundation listen-and-act develops into comprehension response.","Observation of action choice drawing note or short answer after a specific listening or viewing prompt."
"co.eng.l1.listening-viewing.001","english","listening_viewing","L1 lower-primary bridge","obj.lang.english.l1.listening-comprehension.001","src.textbook.english.cambridge-primary-path.l1","exercise-items.jsonl; progress-observation-points.jsonl","std.china2022.eng.l1.input-interaction.001","moderate","China preparatory and Level 1 bridge supports listening speaking input and routine interaction; it is broader and less task-specific than CPP L1 listening items.","Record exact prompt language and whether translation gesture or visual choices were used."
"co.eng.l1.speaking-oracy.001","english","speaking","L1 lower-primary bridge","obj.lang.english.l1.speaking-oracy.001","src.textbook.english.cambridge-primary-path.l1","language-functions.jsonl; progress-observation-points.jsonl","std.sgmoe.eng.lp.speaking-representing.001","strong","CPP L1 speaking/oracy aligns with Singapore lower-primary speaking to fulfill purposes; Foundation one-word/frame response becomes short supported speech.","Transcript or close paraphrase of child response plus support level."
"co.eng.l1.speaking-oracy.001","english","speaking","L1 lower-primary bridge","obj.lang.english.l1.speaking-oracy.001","src.textbook.english.cambridge-primary-path.l1","progress-observation-points.jsonl","std.ibpyp.lang.phase1-2.oral.001","strong","PYP oral language Phase 1 to 2 bridge fits personal-experience speech questions turn-taking and increasingly accurate sounds or grammar.","Observed spoken response retell or explanation connected to a picture object or familiar context."
"co.eng.l1.reading-strategies.001","english","reading_comprehension","L1 lower-primary bridge","obj.lang.english.l1.reading-strategies.001","src.textbook.english.cambridge-primary-path.l1","reading-skills.jsonl","std.sgmoe.eng.lp.reading-viewing.001","strong","CPP L1 reading strategies map to beginning reading and viewing through prediction contextual clues and comprehension; Foundation visual-reading readiness becomes explicit strategy use.","Observed child points to a clue predicts sequences or explains a reading choice."
"co.eng.l1.reading-strategies.001","english","reading_comprehension","L1 lower-primary bridge","obj.lang.english.l1.reading-strategies.001","src.textbook.english.cambridge-primary-path.l1","reading-skills.jsonl","std.ibpyp.lang.phase2.reading.001","strong","PYP Phase 2 reading includes shared/guided reading prediction connection and decoding; strong fit for L1 strategy observation.","Child uses a text picture or print clue and explains meaning with prompt level recorded."
"co.eng.l1.reading-fluency-readiness.001","english","reading_fluency_readiness","L1 lower-primary bridge","obj.lang.english.l1.reading-strategies.001","src.textbook.english.cambridge-primary-path.l1","reading-skills.jsonl; phonics-or-sound-awareness.jsonl","std.sgmoe.eng.lp.reading-viewing.001","moderate","Singapore includes accuracy and fluency but CPP L1 evidence should remain readiness-level unless independent sustained reading is observed.","Observed familiar word caption or repeated line recognition with print tracking or sound clue."
"co.eng.l1.reading-fluency-readiness.001","english","reading_fluency_readiness","L1 lower-primary bridge","obj.lang.english.l1.phonics-sound-awareness.001","src.textbook.english.cambridge-primary-path.l1","phonics-or-sound-awareness.jsonl","std.sgmoe.eng.lp.early-literacy.001","moderate","Early literacy and phonics support fluency readiness; do not overclaim independent fluency from supported recognition.","Record word set text length and whether adult reading model was present."
"co.eng.l1.writing-captions-sentences.001","english","writing_readiness","L1 lower-primary bridge","obj.lang.english.l1.writing-readiness.001","src.textbook.english.cambridge-primary-path.l1","writing-readiness.jsonl","std.sgmoe.eng.lp.writing-representing.001","strong","CPP L1 writing readiness aligns with lower-primary print script spelling and early idea expression; Foundation tracing/copying moves into meaningful labels and captions.","Child-created label caption sentence or short description with support type recorded."
"co.eng.l1.writing-captions-sentences.001","english","writing_readiness","L1 lower-primary bridge","obj.lang.english.l1.writing-readiness.001","src.textbook.english.cambridge-primary-path.l1","writing-readiness.jsonl","std.ibpyp.lang.phase2.writing.001","strong","PYP Phase 2 writing supports simple sentences personal ideas captions and rereading for meaning; strong fit for observation-ready L1 writing.","Work sample or parent note showing traced copied selected dictated jointly composed or independent contribution."
"co.eng.l1.visual-multimodal.001","english","visual_multimodal_literacy","L1 lower-primary bridge","obj.lang.english.l1.reading-strategies.001","src.textbook.english.cambridge-primary-path.l1","reading-skills.jsonl; activity-materials.jsonl","std.ibpyp.lang.phase2.visual.001","strong","PYP Phase 2 visual language maps directly to connecting visual information with experience and communicating through media; CPP L1 uses pictures and captions heavily.","Child explains how picture symbol or layout helps meaning or creates a visual-language response."
"co.eng.l1.visual-multimodal.001","english","visual_multimodal_literacy","L1 lower-primary bridge","obj.lang.english.l1.language-functions.001","src.textbook.english.cambridge-primary-path.l1","activity-materials.jsonl","std.sgmoe.eng.lp.listening-viewing.001","moderate","Singapore listening/viewing supports multimodal comprehension but CPP visual creation tasks are narrower than the standard.","Observed link between visual cue and English word sentence or response."
"co.eng.l1.interaction-discussion.001","english","interaction","L1 lower-primary bridge","obj.lang.english.l1.interaction-discussion.001","src.textbook.english.cambridge-primary-path.l1","language-functions.jsonl; progress-observation-points.jsonl","std.sgmoe.eng.lp.speaking-representing.001","strong","Singapore lower-primary discussion and respectful exchange align with CPP L1 interaction cues; Foundation greetings and turn-taking become short discussion moves.","Observation of turn-taking asking clarification responding or feedback in a short exchange."
"co.eng.l1.interaction-discussion.001","english","interaction","L1 lower-primary bridge","obj.lang.english.l1.interaction-discussion.001","src.textbook.english.cambridge-primary-path.l1","language-functions.jsonl","std.ibpyp.lang.phase1-2.oral.001","strong","PYP oral Phase 1 to 2 bridge includes turn-taking questions feelings opinions and relationship-building interactions.","Record the exact interaction move and whether it was initiated prompted or rehearsed."
"co.eng.l1.learning-habits.001","english","learning_habits","L1 lower-primary bridge","obj.lang.english.l1.learning-habits.001","src.textbook.english.cambridge-primary-path.l1","progress-observation-points.jsonl; workbook-alignment.jsonl","std.china2022.eng.l1.learning-strategy.001","strong","China learning strategy requirements align with active participation support-seeking and reflection; this objective protects evidence quality for L1 practice.","Short practice record with task date child action support level and reflection."
"co.eng.l1.learning-habits.001","english","home_practice_evidence","L1 lower-primary bridge","obj.lang.english.l1.home-practice-evidence.001","src.textbook.english.cambridge-primary-path.l1","progress-observation-points.jsonl","std.sgmoe.eng.lp.early-literacy.001","moderate","Singapore integration of receptive/productive skills and positive dispositions supports home evidence routines but does not define progress ledger rules directly.","Observation-ready sample showing what child said did selected read wrote or asked."
